Run,Trial,Condition,Onset,Duration,ISI,Context,Emotion,Order,ContextFile,FaceFile,FaceNum,Gender
4,11,6,86.9816,5,4.5838,Unpleasant,Neutral,1,9905.jpg,37M_N.png,37,Male
4,12,5,96.5654,5,3.2419,Unpleasant,Happy,1,2456.jpg,14F_H.png,14,Female
4,13,4,104.8074,5,2.6617,Unpleasant,Fearful,1,9007.jpg,28M_F.png,28,Male
4,14,3,112.4691,5,2.3196,Pleasant,Neutral,1,2398.jpg,42M_N.png,42,Male
4,15,6,119.7887,5,3.3031,Unpleasant,Neutral,1,9419.jpg,02F_N.png,02,Female
4,16,2,128.0918,5,2.125,Pleasant,Fearful,1,2341.jpg,38M_F.png,38,Male
4,17,5,135.2168,5,2.2108,Unpleasant,Happy,1,9832.jpg,23M_H.png,23,Male
4,18,4,142.4276,5,3.4496000000000002,Unpleasant,Fearful,1,2053.jpg,32M_F.png,32,Male
4,19,1,150.8772,5,2.3843,Pleasant,Happy,1,5760.jpg,03F_H.png,03,Female
4,20,6,158.2615,5,2.5506,Unpleasant,Neutral,1,3180.jpg,23M_N.png,23,Male
4,21,2,165.8121,5,2.0595,Pleasant,Fearful,1,1441.jpg,18F_F.png,18,Female
4,22,5,172.8715,5,2.5162,Unpleasant,Happy,1,9452.jpg,41M_H.png,41,Male
4,23,3,180.3877,5,2.5509,Pleasant,Neutral,1,2070.jpg,20M_N.png,20,Male
4,24,3,187.9387,5,2.5862,Pleasant,Neutral,1,2058.jpg,43M_N.png,43,Male
4,25,4,195.5248,5,2.4517,Unpleasant,Fearful,1,9120.jpg,31M_F.png,31,Male
4,26,5,202.9765,5,3.4067,Unpleasant,Happy,1,9611.jpg,24M_H.png,24,Male
4,27,6,211.3832,5,3.9821,Unpleasant,Neutral,1,9903.jpg,10F_N.png,10,Female
4,28,4,220.3653,5,2.7907,Unpleasant,Fearful,1,9424.jpg,09F_F.png,09,Female
4,29,1,228.156,5,2.1642,Pleasant,Happy,1,2314.jpg,16F_H.png,16,Female
4,30,2,235.3202,5,3.9509,Pleasant,Fearful,1,4622.jpg,05F_F.png,05,Female
4,31,5,244.2711,5,2.6911,Unpleasant,Happy,1,9426.jpg,07F_H.png,07,Female
4,32,3,251.9622,5,2.5198,Pleasant,Neutral,1,8461.jpg,29M_N.png,29,Male
4,33,4,259.482,5,3.4719,Unpleasant,Fearful,1,2205.jpg,42M_F.png,42,Male
4,34,1,267.9539,5,2.1362,Pleasant,Happy,1,2080.jpg,21M_H.png,21,Male
4,35,2,275.0901,5,2.4637,Pleasant,Fearful,1,8540.jpg,34M_F.png,34,Male
4,36,3,282.5538,5,3.329,Pleasant,Neutral,1,8420.jpg,35M_N.png,35,Male
4,37,4,290.8828,5,2.6026,Unpleasant,Fearful,1,6242.jpg,01F_F.png,01,Female
4,38,6,298.4854,5,3.7388,Unpleasant,Neutral,1,9342.jpg,18F_N.png,18,Female
4,39,5,307.2243,5,3.7773,Unpleasant,Happy,1,9295.jpg,22M_H.png,22,Male
4,40,1,316.0016,5,3.7096,Pleasant,Happy,1,7492.jpg,37M_H.png,37,Male
4,41,1,324.7112,5,4.7564,Pleasant,Happy,1,2360.jpg,29M_H.png,29,Male
4,42,3,334.4676,5,4.3063,Pleasant,Neutral,1,5811.jpg,39M_N.png,39,Male
4,43,2,343.774,5,3.6627,Pleasant,Fearful,1,5551.jpg,33M_F.png,33,Male
4,44,4,352.4367,5,2.782,Unpleasant,Fearful,1,9590.jpg,30M_F.png,30,Male
4,45,3,360.2186,5,4.7009,Pleasant,Neutral,1,2156.jpg,15F_N.png,15,Female
4,46,1,369.9195,5,3.2567,Pleasant,Happy,1,5200.jpg,02F_H.png,02,Female
4,47,6,378.1762,5,2.9489,Unpleasant,Neutral,1,6311.jpg,16F_N.png,16,Female
4,48,5,386.1251,5,4.0512,Unpleasant,Happy,1,2900.jpg,30M_H.png,30,Male
4,49,4,395.1764,5,2.7799,Unpleasant,Fearful,1,2703.jpg,27M_F.png,27,Male
4,50,6,402.9562,5,2.1293,Unpleasant,Neutral,1,9220.jpg,01F_N.png,01,Female
4,51,2,410.0856,5,2.2221,Pleasant,Fearful,1,1463.jpg,24M_F.png,24,Male
4,52,5,417.3077,5,5.2886,Unpleasant,Happy,1,2141.jpg,01F_H.png,01,Female
4,53,3,427.5963,5,3.2546,Pleasant,Neutral,1,5202.jpg,12F_N.png,12,Female
4,54,1,435.8509,5,2.6297,Pleasant,Happy,1,5836.jpg,17F_H.png,17,Female
4,55,2,443.4806,5,2.0921,Pleasant,Fearful,1,2311.jpg,13F_F.png,13,Female
4,56,5,450.5727,5,2.3909,Unpleasant,Happy,1,6571.jpg,06F_H.png,06,Female
4,57,3,457.9636,5,2.5486,Pleasant,Neutral,1,8380.jpg,14F_N.png,14,Female
4,58,6,465.5122,5,3.7808,Unpleasant,Neutral,1,2345.1.jpg,32M_N.png,32,Male
4,59,2,474.2931,5,2.8764,Pleasant,Fearful,1,2304.jpg,08F_F.png,08,Female
